SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610297,SCHOOL OF LEADRSHP HS,"7627 S CONSTANCE AVE, 60649",POINT (-87.57964399964169 41.756196939381255),HS,"10, 11, 12","District, non-alternative",-87.579644,41.75619694
610296,SCHOOL OF TECHNOLOGY HS,"7529 S CONSTANCE AVE, 60649",POINT (-87.5796831480614 41.75795677086671),HS,"10, 11, 12",High School,-87.57968315,41.75795677
610310,SCHOOL OF THE ARTS HS,"7529 S CONSTANCE AVE, 60649",POINT (-87.5796831480614 41.75795677086671),HS,"10, 11, 12",High School,-87.57968315,41.75795677
610165,SCHUBERT,"2727 N LONG AVE, 60639",POINT (-87.76119047242375 41.93040331728372),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.76119047,41.93040332
609729,SCHURZ HS,"3601 N MILWAUKEE AVE, 60641",POINT (-87.7356121128606 41.94636454636117),HS,"9, 10, 11, 12","District, non-alternative",-87.73561211,41.94636455
610548,STEM ES,"1522 W FILLMORE ST, 60607",POINT (-87.66496912801087 41.8685758794565),ES,"K, 1, 2, 3","District, non-alternative",-87.66496913,41.86857588
610377,SENN AA,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10",High School,-87.66522476,41.98903245
609730,SENN HS,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10, 11, 12","District, non-alternative",-87.66522476,41.98903245
610167,SEWARD,"4600 S HERMITAGE AVE, 60609",POINT (-87.66877200796098 41.81033323560329),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66877201,41.81033324
610169,SEXTON,"6020 S LANGLEY AVE, 60637",POINT (-87.60863289649349 41.785182814055474),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6086329,41.78518281
400073,SHABAZZ CHTR-DUSABLE,"4934 S WABASH AVE, 60615",POINT (-87.62444722509098 41.80455816435276),HS,"9, 10, 11, 12",Charter,-87.62444723,41.80455817
400072,SHABAZZ CHTR-SHABAZZ,"7823 S ELLIS AVE, 60619",POINT (-87.60025455081409 41.75245848833246),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.60025455,41.75245849
400074,SHABAZZ CHTR-SIZEMORE,"6936 S HERMITAGE AVE, 60636",POINT (-87.66763900242688 41.76739011056316),ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.667639,41.76739011
610257,MORTON,"431 N TROY ST, 60612",POINT (-87.70502524872865 41.889287316249856),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70502525,41.88928732
610082,MOUNT GREENWOOD,"10841 S HOMAN AVE, 60655",POINT (-87.70580994353654 41.69573386064251),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70580994,41.69573386
610086,MOUNT VERNON,"10540 S MORGAN ST, 60643",POINT (-87.64765248449699 41.70195211365202),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64765248,41.70195211
610088,MOZART,"2200 N HAMLIN AVE, 60647",POINT (-87.72188814344507 41.92090965176399),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.72188814,41.92090965
610385,MULTICULTURAL ACAD SCHOLARSHIP,"3120 S KOSTNER AVE, 60623",POINT (-87.73415832835119 41.836035192554455),HS,"9, 10, 11, 12","District, non-alternative",-87.73415833,41.83603519
610089,MURPHY,"3539 W GRACE ST, 60618",POINT (-87.71683185278259 41.95007775667869),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71683185,41.95007776
610090,MURRAY,"5335 S KENWOOD AVE, 60615",POINT (-87.59334040176374 41.79853548073276),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5933404,41.79853548
400050,NAMASTE CHTR CAMPUS,"3737 S PAULINA ST, 60609",POINT (-87.66772404228664 41.8256997583143),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66772404,41.82569976
610092,NASH,"4837 W ERIE ST, 60644",POINT (-87.74721521372389 41.892174562119806),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.74721521,41.89217456
610231,NATIONAL TEACHERS,"55 W CERMAK RD, 60616",POINT (-87.62928056719142 41.852800001800155),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62928057,41.8528
610085,NEAR NORTH,"739 N ADA ST, 60642",POINT (-87.66127678932577 41.89552217357298),ES,"2, 3, 4, 5, 6, 7, 8","District, Special Ed.",-87.66127679,41.89552217
610093,NEIL,"8555 S MICHIGAN AVE, 60619",POINT (-87.62093345276227 41.73840658985237),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62093345,41.73840659
610094,NETTELHORST,"3252 N BROADWAY, 60657",POINT (-87.64456121747423 41.94163655583136),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64456122,41.94163656
610284,NEW FIELD,"1707 W MORSE AVE, 60626",POINT (-87.67316832252675 42.00770257090857),ES,"PK, K, 1, 2, 3","District, non-alternative",-87.67316832,42.00770257
610323,BOWEN HS,"2710 E 89TH ST, 60617",POINT (-87.55775983608365 41.73373352987684),HS,"9, 10, 11, 12","District, non-alternative",-87.55775984,41.73373353
610095,NEWBERRY,"700 W WILLOW ST, 60614",POINT (-87.64599024816263 41.913947218883536),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64599025,41.91394722
610081,SHERIDAN,"533 W 27TH ST, 60616",POINT (-87.6413397997343 41.84440015897237),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6413398,41.84440016
610172,SHERMAN,"1000 W 52ND ST, 60609",POINT (-87.65022144208079 41.79976620261307),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65022144,41.7997662
610173,SHERWOOD,"245 W 57TH ST, 60621",POINT (-87.63227937751655 41.79080024059559),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63227938,41.79080024
610174,SHIELDS,"4250 S ROCKWELL ST, 60632",POINT (-87.68964723164635 41.81590948497543),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68964723,41.81590949
610175,SHOESMITH,"1330 E 50TH ST, 60615",POINT (-87.59390493804058 41.80429401220716),ES,"K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.59390494,41.80429401
610176,SHOOP,"11140 S BISHOP ST, 60643",POINT (-87.65926756869003 41.69046615898771),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65926757,41.69046616
609692,SIMEON HS,"8147 S VINCENNES AVE, 60620",POINT (-87.63541036650936 41.74578122751524),HS,"8, 9, 10, 11, 12","District, non-alternative",-87.63541037,41.74578123
610177,SKINNER,"1260 W ADAMS ST, 60607",POINT (-87.6594189761182 41.87910254667827),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65941898,41.87910255
610534,SKINNER NORTH,"640 W SCOTT ST, 60610",POINT (-87.64484149354364 41.90510912156029),ES,"K, 1, 2, 3, 4","District, non-alternative",-87.64484149,41.90510912
609978,SMITH,"744 E 103RD ST, 60628",POINT (-87.604660405806 41.70755761501772),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60466041,41.70755762
